date,change_key_rate,basis_points,key_rate,inflation
24 октября 2025,снизить,50.0,16.5,8.2
12 сентября 2025,снизить,100.0,17.0,8.2
25 июля 2025,снизить,200.0,18.0,9.2
6 июня 2025,снизить,100.0,20.0,9.8
25 апреля 2025,сохранить,,21.0,10.3
21 марта 2025,сохранить,,21.0,10.2
14 февраля 2025,сохранить,,21.0,10.0
20 декабря 2024,сохранить,,21.0,9.5
25 октября 2024,повысить,200.0,21.0,8.4
13 сентября 2024,повысить,100.0,19.0,9.0
26 июля 2024,повысить,200.0,18.0,7.0
7 июня 2024,сохранить,,16.0,8.1
26 апреля 2024,сохранить,,16.0,7.8
22 марта 2024,сохранить,,16.0,7.7
16 февраля 2024,сохранить,,16.0,7.4
15 декабря 2023,повысить,100.0,16.0,7.1
27 октября 2023,повысить,200.0,15.0,6.6
15 сентября 2023,повысить,100.0,13.0,5.5
15 августа 2023,повысить,350.0,12.0,4.4
21 июля 2023,повысить,100.0,8.5,3.6
9 июня 2023,сохранить,,7.5,2.6
28 апреля 2023,сохранить,,7.5,6.5
17 марта 2023,сохранить,,7.5,
10 февраля 2023,сохранить,,7.5,11.8
16 декабря 2022,сохранить,,7.5,12.7
28 октября 2022,сохранить,,7.5,12.9
16 сентября 2022,снизить,50.0,7.5,
22 июля 2022,снизить,150.0,8.0,
10 июня 2022,снизить,150.0,9.5,17.0
27 мая 2022,снизить,300.0,11.0,17.5
29 апреля 2022,снизить,300.0,14.0,17.6
11 апреля 2022,снизить,300.0,17.0,
18 марта 2022,сохранить,,,
28 февраля 2022,повысить,,,
11 февраля 2022,повысить,100.0,9.5,8.8
17 декабря 2021,повысить,100.0,8.5,8.1
22 октября 2021,повысить,75.0,7.5,7.8
10 сентября 2021,повысить,25.0,6.75,4.5
23 июля 2021,повысить,100.0,6.5,6.2
11 июня 2021,повысить,50.0,5.5,
23 апреля 2021,повысить,50.0,5.0,5.5
19 марта 2021,повысить,25.0,4.5,
12 февраля 2021,сохранить,,4.25,
18 декабря 2020,сохранить,,4.25,4.7
23 октября 2020,сохранить,,4.25,3.8
18 сентября 2020,сохранить,,4.25,3.7
24 июля 2020,снизить,25.0,4.25,3.3
19 июня 2020,снизить,100.0,4.5,
24 апреля 2020,снизить,50.0,5.5,
20 марта 2020,сохранить,,6.0,
