word,freq_hike,freq_cut,p_hike,p_cut,log_odds
первичном,15,0,0.00019473764648461573,1.204296061253388e-07,7.38834312833842
ипотечный,13,0,0.000168789925434034,1.204296061253388e-07,7.245344775217463
стандарт,12,0,0.00015581606490874318,1.204296061253388e-07,7.165366118784942
плавающих,12,0,0.00015581606490874318,1.204296061253388e-07,7.165366118784942
плавающей,12,0,0.00015581606490874318,1.204296061253388e-07,7.165366118784942
взноса,12,0,0.00015581606490874318,1.204296061253388e-07,7.165366118784942
разрыва,12,0,0.00015581606490874318,1.204296061253388e-07,7.165366118784942
список,11,0,0.0001428422043834523,1.204296061253388e-07,7.078430433427638
плавающие,11,0,0.0001428422043834523,1.204296061253388e-07,7.078430433427638
вторичном,10,0,0.00012986834385816145,1.204296061253388e-07,6.983211076020179
недвижимости,10,0,0.00012986834385816145,1.204296061253388e-07,6.983211076020179
мягкими,9,0,0.0001168944833328706,1.204296061253388e-07,6.877961554313297
переносить,9,0,0.0001168944833328706,1.204296061253388e-07,6.877961554313297
платежами,9,0,0.0001168944833328706,1.204296061253388e-07,6.877961554313297
корпоративных,9,0,0.0001168944833328706,1.204296061253388e-07,6.877961554313297
повышений,9,0,0.0001168944833328706,1.204296061253388e-07,6.877961554313297
нехватка,8,0,0.00010392062280757974,1.204296061253388e-07,6.760317243773317
соответствующих,8,0,0.00010392062280757974,1.204296061253388e-07,6.760317243773317
юани,8,0,0.00010392062280757974,1.204296061253388e-07,6.760317243773317
ужесточению,8,0,0.00010392062280757974,1.204296061253388e-07,6.760317243773317
банкротств,7,0,9.094676228228889e-05,1.204296061253388e-07,6.626964183739549
дисбаланс,7,0,9.094676228228889e-05,1.204296061253388e-07,6.626964183739549
территориальных,7,0,9.094676228228889e-05,1.204296061253388e-07,6.626964183739549
расчетами,7,0,9.094676228228889e-05,1.204296061253388e-07,6.626964183739549
финансируют,7,0,9.094676228228889e-05,1.204296061253388e-07,6.626964183739549
недвижимость,7,0,9.094676228228889e-05,1.204296061253388e-07,6.626964183739549
пошлины,7,0,9.094676228228889e-05,1.204296061253388e-07,6.626964183739549
узкие,7,0,9.094676228228889e-05,1.204296061253388e-07,6.626964183739549
ноябре,7,0,9.094676228228889e-05,1.204296061253388e-07,6.626964183739549
мвф,7,0,9.094676228228889e-05,1.204296061253388e-07,6.626964183739549
овощехранилищ,7,0,9.094676228228889e-05,1.204296061253388e-07,6.626964183739549
диверсификации,7,0,9.094676228228889e-05,1.204296061253388e-07,6.626964183739549
срочные,7,0,9.094676228228889e-05,1.204296061253388e-07,6.626964183739549
трансграничными,7,0,9.094676228228889e-05,1.204296061253388e-07,6.626964183739549
брикс,7,0,9.094676228228889e-05,1.204296061253388e-07,6.626964183739549
экосистем,7,0,9.094676228228889e-05,1.204296061253388e-07,6.626964183739549
трансграничных,7,0,9.094676228228889e-05,1.204296061253388e-07,6.626964183739549
ремонта,6,0,7.797290175699803e-05,1.204296061253388e-07,6.4730512312401665
отклоняется,6,0,7.797290175699803e-05,1.204296061253388e-07,6.4730512312401665
плавающими,6,0,7.797290175699803e-05,1.204296061253388e-07,6.4730512312401665
отложенные,6,0,7.797290175699803e-05,1.204296061253388e-07,6.4730512312401665
непосредственно,6,0,7.797290175699803e-05,1.204296061253388e-07,6.4730512312401665
предложить,6,0,7.797290175699803e-05,1.204296061253388e-07,6.4730512312401665
овощей,6,0,7.797290175699803e-05,1.204296061253388e-07,6.4730512312401665
лета,6,0,7.797290175699803e-05,1.204296061253388e-07,6.4730512312401665
вернулась,6,0,7.797290175699803e-05,1.204296061253388e-07,6.4730512312401665
усилит,6,0,7.797290175699803e-05,1.204296061253388e-07,6.4730512312401665
спекулянтов,6,0,7.797290175699803e-05,1.204296061253388e-07,6.4730512312401665
сергей,6,0,7.797290175699803e-05,1.204296061253388e-07,6.4730512312401665
экосистемы,6,0,7.797290175699803e-05,1.204296061253388e-07,6.4730512312401665
