word,count
будет,2806
вопрос,2396
ставки,2315
инфляции,2234
роста,1650
может,1575
цен,1538
того,1510
денежно,1477
сейчас,1458
более,1456
том,1363
набиуллина,1338
этом,1326
которые,1306
уже,1283
ключевой,1250
нас,1189
риски,1116
касается,1116
экономики,1087
рост,1081
рынка,1063
когда,1052
инфляция,1051
чем,976
поэтому,958
быть,945
действительно,928
очень,919
будут,915
политики,906
еще,892
кредитной,860
спроса,830
этого,825
видим,815
решения,813
эти,811
ожидания,791
числе,779
целом,772
конечно,772
потому,748
тем,744
уровне,702
решение,701
будем,697
инфляцию,682
снижение,680
могут,677
инфляционные,675
спрос,671
влияние,668
директоров,662
рисков,632
рынке,628
время,627
кредитования,619
раз,617
рубля,613
только,604
меры,599
темпы,599
цены,592
условиях,590
год,590
здесь,585
банки,585
ситуации,570
прогноз,569
населения,563
наш,563
какие,560
было,553
ставок,547
снижения,540
взгляд,540
стороны,540
цели,540
инфляционных,539
банков,529
факторов,525
пока,524
ставке,518
ставка,518
обратиться,516
бесплатно,516
ожиданий,512
звонков,511
круглосуточно,510
этих,510
можно,510
учетом,506
ставку,502
достаточно,492
условий,488
финансового,486
курса,486
экономике,474
