w1,w2,freq_bigram,freq_w1,freq_w2,pmi
первоначальному,взносу,5,5,5,11.016410289888363
платежными,системами,5,5,5,11.016410289888363
the,bell,5,6,5,10.834088733094408
созаемщика,созаемщиков,6,6,6,10.834088733094408
занимающихся,предпринимательской,6,6,6,10.834088733094408
денежную,массу,5,5,6,10.834088733094408
красный,север,6,6,6,10.834088733094408
заработную,плату,5,5,6,10.834088733094408
документально,подтвержденной,6,6,6,10.834088733094408
примерным,перечнем,6,6,6,10.834088733094408
удерживаемым,переданным,6,6,6,10.834088733094408
определением,подлежащего,6,7,6,10.67993805326715
информационная,безопасность,6,6,7,10.67993805326715
ценными,бумагами,6,6,7,10.67993805326715
полученного,заемщиком,6,6,7,10.67993805326715
наличное,денежное,6,6,7,10.67993805326715
market,power,7,7,7,10.67993805326715
сельском,хозяйстве,7,7,7,10.67993805326715
республики,беларусь,6,7,6,10.67993805326715
солидарного,созаемщика,6,7,6,10.67993805326715
недобросовестным,практикам,7,7,8,10.546406660642628
подлежащего,применению,6,6,8,10.546406660642628
предпринимательской,деятельностью,6,6,8,10.546406660642628
избранного,назначенного,8,8,8,10.546406660642628
pro,finansy,8,8,8,10.546406660642628
территориальные,учреждения,6,7,7,10.525787373439892
домашних,хозяйств,9,9,9,10.428623624986244
платежном,балансе,6,6,9,10.428623624986244
цифровом,рубле,6,7,8,10.392255980815369
денежная,масса,6,8,7,10.392255980815369
острой,фазы,5,5,10,10.323263109328417
плодоовощная,продукция,5,5,10,10.323263109328417
кредите,займе,6,10,6,10.323263109328417
негосударственными,пенсионными,7,7,10,10.323263109328417
резидента,юридического,8,8,10,10.323263109328417
сельского,хозяйства,6,6,10,10.323263109328417
верхнюю,границу,5,6,9,10.24630206819229
организованных,торгах,5,6,9,10.24630206819229
бюджетным,правилом,7,11,7,10.227952929524093
нижний,новгород,10,11,10,10.227952929524093
назначенного,состав,8,8,11,10.227952929524093
борщевого,набора,6,6,11,10.227952929524093
частичной,мобилизации,5,8,7,10.209934424021414
иную,должность,8,10,9,10.205480073672033
бытовую,технику,6,7,10,10.169112429501158
малому,среднему,10,10,12,10.140941552534462
добровольной,ликвидации,10,10,12,10.140941552534462
естественных,монополий,11,12,11,10.140941552534462
долговая,нагрузка,9,9,12,10.140941552534462
сведениями,кбки,6,6,12,10.140941552534462
жилищно,коммунальные,9,11,10,10.122592413866267
очистить,всё,8,10,10,10.100119558014208
дальнем,востоке,5,7,9,10.09215138836503
выпущенным,принятым,8,8,13,10.060898844860926
денежные,агрегаты,5,13,5,10.060898844860926
перечнем,приложении,6,6,13,10.060898844860926
оцениваемые,справедливой,6,6,13,10.060898844860926
обеспеченным,залогом,8,8,13,10.060898844860926
залогом,автомототранспортного,10,13,10,10.060898844860926
регуляторными,послаблениями,8,10,11,10.004809378209883
правительственная,комиссия,5,7,10,9.986790872707205
financial,one,10,14,10,9.986790872707205
покупательной,способности,6,6,14,9.986790872707205
национальная,платежная,6,12,7,9.986790872707205
подсолнечное,масло,8,8,14,9.986790872707205
тонкой,настройки,11,12,13,9.973887467871297
пенсионными,фондами,7,10,10,9.966588165389686
федеральной,резервной,5,8,9,9.958619995740507
платежным,балансом,5,9,8,9.958619995740507
инфляционному,таргетированию,9,11,12,9.940270857072312
предмет,соответствия,9,15,9,9.917798001220254
первоначальным,взносом,12,12,15,9.917798001220254
первоначальный,взнос,6,9,10,9.917798001220254
овощи,фрукты,6,13,7,9.906748165033669
инфляционный,фон,5,11,7,9.89148069290288
территориальных,учреждений,5,11,7,9.89148069290288
узких,мест,7,8,14,9.853259480082682
ценным,бумагам,6,6,16,9.853259480082682
law,and,7,7,16,9.853259480082682
life,and,7,7,16,9.853259480082682
исполнением,обязанности,6,10,10,9.812437485562427
обязанности,расчету,6,10,10,9.812437485562427
узкие,места,9,10,15,9.812437485562427
приобретенным,правам,10,14,12,9.80446931591325
электронных,кошельках,5,12,7,9.80446931591325
алексея,борисовича,15,17,15,9.792634858266247
московская,биржа,7,8,15,9.78426660859573
перечня,приложении,6,8,13,9.773216772409146
керри,трейд,9,12,13,9.773216772409146
денежное,обращение,6,7,15,9.763647321392995
налоговые,льготы,5,11,8,9.757949300278357
заработные,платы,7,7,18,9.735476444426299
частным,сектором,6,9,12,9.735476444426299
документов,подтверждающих,7,18,7,9.735476444426299
долговую,нагрузку,8,9,16,9.735476444426299
близок,завершению,5,13,7,9.724426608239714
региональном,разрезе,7,8,16,9.71972808745816
бюджетными,расходами,6,10,11,9.717127305758101
марки,urals,6,14,8,9.699108800255424
инфляционной,спирали,10,17,11,9.697324678461923
invest,future,10,17,11,9.697324678461923
негосударственных,пенсионных,9,9,19,9.681409223156022
московский,комсомолец,17,19,17,9.681409223156022
цифровому,рублю,10,10,19,9.681409223156022
историческим,меркам,10,12,16,9.670937923288728
блог,furydrops,5,12,8,9.670937923288728
внешнему,долгу,15,16,18,9.670937923288728
плюсы,минусы,8,14,11,9.66833714158867
малый,средний,5,7,14,9.650318636085991
заработной,платы,10,11,18,9.640166264621973
конфликт,интересов,5,9,11,9.640166264621973
подтверждающих,доход,6,7,17,9.638484178438988
законные,интересы,5,5,20,9.630115928768472
выступает,поручителем,6,20,6,9.630115928768472
друг,друга,11,20,11,9.630115928768472
первоначального,взноса,16,17,19,9.620784601339588
обеспеченных,необеспеченных,8,9,18,9.617693408769915
товарным,группам,5,6,17,9.610313301472292
anna,finance,12,13,19,9.601366515482486
формирующимися,рынками,7,7,21,9.58132576459904
санкт,петербург,10,18,12,9.553154887632344
бытовой,техники,11,15,16,9.543104551778843
страхового,возмещения,7,17,9,9.54132042998534
раскручивания,инфляционной,7,9,17,9.54132042998534
стресс,тесты,11,22,11,9.534805748964148
торговые,войны,8,18,10,9.512332893112088
соответствия,требованиям,8,9,20,9.512332893112088
состав,органов,8,11,17,9.474181127147713
развивающимися,рынками,8,9,21,9.463542728942656
широкого,круга,8,19,10,9.458265671841813
друг,другу,5,20,6,9.447794371974517
frank,media,24,25,24,9.406972377454263
недобросовестные,практики,7,8,22,9.401274356339625
доходах,расходах,5,10,13,9.36775166430098
блог,anna,6,12,13,9.36775166430098
формате,xbrl,6,16,10,9.342433856316692
наличие,солидарного,6,23,7,9.336203306566055
сих,пор,19,19,27,9.330011336318135
исчислением,временных,6,6,27,9.330011336318133
широкому,кругу,24,24,27,9.330011336318133
иной,документально,6,27,6,9.330011336318133
ипотечному,кредиту,5,8,17,9.322631229020512
своему,потенциалу,6,14,12,9.29364369214726
кандидата,лица,8,8,28,9.29364369214726
юридического,лица,10,10,28,9.29364369214726
лица,избранного,8,28,8,9.29364369214726
составление,представление,6,6,28,9.29364369214726
неполной,занятости,8,9,25,9.28918934179788
деловой,репутации,8,25,9,9.28918934179788
бюджетному,правилу,23,27,24,9.287451721899338
стандартным,подходом,20,27,21,9.281221172148703
сахар,подсолнечное,5,18,8,9.265472815180564
заработных,плат,29,29,29,9.25855237233599
подушка,безопасности,9,10,27,9.224650820660308
комсомольская,правда,8,8,30,9.224650820660308
поручителем,использование,6,6,30,9.224650820660308
удаленный,режим,5,5,30,9.224650820660308
среднесрочную,перспективу,10,12,25,9.224650820660308
опорное,заседание,8,11,22,9.216352017845614
информационного,письма,16,22,22,9.216352017845614
потребительскому,кредитованию,6,8,23,9.202671913941533
просроченной,задолженности,6,6,31,9.191860997837317
обрабатывающей,промышленности,6,6,31,9.191860997837317
пищевой,промышленности,5,5,31,9.191860997837317
попрошу,алексея,6,11,17,9.18649905469593
