word,count
будет,714
вопрос,668
ставки,491
инфляции,466
сейчас,442
того,415
может,382
набиуллина,382
уже,366
которые,354
нас,345
этом,338
более,336
денежно,321
том,302
когда,295
касается,282
цен,279
поэтому,277
действительно,266
очень,264
еще,263
будут,261
быть,260
роста,258
видим,237
экономики,231
конечно,227
потому,226
инфляция,225
чем,223
раз,217
риски,215
эти,213
политики,212
этого,209
ключевой,203
снижение,199
будем,198
кредитной,194
здесь,194
целом,186
тем,181
только,175
банки,175
снижения,167
агентство,165
какие,165
рост,158
рынка,157
решение,157
ожидания,155
могут,154
решения,153
было,148
рубля,147
числе,145
можно,143
ситуации,141
взгляд,141
курса,140
условиях,138
тоже,138
наш,137
инфляцию,133
вот,133
этих,132
спрос,128
больше,128
пока,128
уровень,127
даже,127
населения,126
ситуация,125
спроса,124
год,124
банков,123
инфляционные,122
экономике,121
ставку,121
прогноз,121
время,121
сегодня,118
ставок,117
были,116
спасибо,116
меры,115
факторов,115
нефть,114
достаточно,114
цены,112
нет,111
второй,110
рисков,109
ввп,109
курс,108
влияние,105
происходит,104
после,104
важно,104
