word,count
вопрос,592
будет,577
ставки,546
инфляции,484
того,381
сейчас,365
которые,355
более,351
набиуллина,341
может,338
роста,334
денежно,313
уже,312
том,305
касается,304
когда,296
цен,290
нас,283
рост,279
этом,257
инфляция,256
поэтому,254
еще,239
действительно,232
очень,228
этого,225
быть,224
чем,223
ключевой,220
экономики,217
инфляцию,212
политики,207
конечно,207
видим,207
риски,199
спроса,196
эти,195
спрос,185
будем,185
кредитной,184
раз,184
будут,179
целом,178
потому,177
могут,174
только,170
тем,161
числе,158
рынка,157
наш,153
рынке,151
цели,150
год,147
меры,146
прогноз,146
ожидания,145
решение,145
решения,142
здесь,141
повышение,140
взгляд,139
было,138
цены,137
какие,137
влияние,136
выше,136
темпы,134
ставка,134
повышения,131
были,130
больше,128
ставку,128
даже,127
инфляционные,125
уровень,125
можно,124
курса,123
пока,123
время,122
ставок,122
ипотеки,120
достаточно,119
второй,119
ситуации,118
нет,118
факторов,116
кредиты,116
банки,116
рисков,113
тоже,112
предложения,110
кредитования,109
вот,108
факторы,107
насколько,107
агентство,106
нужно,105
всего,105
кредитов,104
банков,101
