word,count
будет,1078
вопрос,1037
инфляции,727
ставки,680
может,663
того,663
сейчас,650
набиуллина,615
которые,577
нас,561
уже,547
том,539
роста,538
более,538
этом,535
денежно,529
касается,524
цен,453
когда,453
быть,452
действительно,430
очень,427
поэтому,425
будут,402
чем,384
эти,375
еще,374
видим,371
этого,362
кредитной,352
рост,347
рынка,346
потому,345
инфляция,338
конечно,338
экономики,337
политики,324
ключевой,314
будем,314
тем,311
целом,299
риски,293
банки,285
инфляцию,283
кредитных,279
числе,277
могут,275
решения,273
наш,273
банков,266
какие,258
спроса,255
взгляд,255
только,253
здесь,250
рынке,249
достаточно,249
рубля,244
можно,240
было,238
год,238
спрос,237
особенности,237
влияние,235
решение,234
прогноз,232
ситуации,229
цены,229
кредитования,228
пока,225
раз,216
были,216
меры,215
вопросы,211
второй,210
снижение,208
ожидания,207
этих,206
нужно,204
темпы,201
рисков,200
нет,200
больше,199
всего,196
тоже,196
время,195
кредитам,195
агентство,192
раздел,192
курса,189
считаем,188
даже,185
ситуация,184
кредитов,184
уровне,183
вот,180
факторов,178
этой,176
цели,172
был,170
