topic_id,top_terms
0,"нефть, сша, долларов, млрд, сценарии, чуть, ликвидности, прогнозе, баррель, восстановление, сценарий, резервов, около, ред, базовом, нашим, темпов, офз, квартале, расти"
1,"ипотеки, про, труда, курс, люди, компании, заботкин, льготной, активов, прошлого, растет, импорт, инвесторов, средства, импорта, доля, смотреть, первый, ключевая, людей"
2,"люди, мировой, денег, прошлого, про, ипотеки, сша, цифрового, компании, прошлом, инвесторов, людей, активов, цифровой, деньги, заботкин, рубль, товары, меньше, первый"
3,"курс, ограничения, первый, иис, бумаги, валютных, счета, меня, ограничений, валютные, исходя, инвесторов, импорт, про, открытия, валюты, нрд, инвесторы, ценные, заботкин"
4,"труда, замедление, высокой, люди, бюджета, людей, ключевая, курс, учитываем, программы, расти, предприятий, высокая, про, процентных, товары, кредита, заботкин, означает, всегда"
5,"особенности, вопросы, общие, отчетность, расчета, риска, применения, форме, займам, коэффициентам, требований, надбавок, форма, дохода, организации, платежей, деятельности, положения, связанные, величины"
6,"валюты, ликвидности, курс, экономического, нефть, млрд, валютного, резервов, долларов, около, инструменты, операции, ослабление, принимать, сценарии, процентного, сектора, волатильность, оценки, пункта"
7,"ипотеки, валюты, люди, про, экспорта, граждан, импорта, курс, ограничения, заботкин, выручки, нейтральной, означает, момент, инвесторов, жилье, следующего, делать, меньше, прошлом"
8,"июня, мая, операции, проводиться, марта, новых, условиям, над, февраля, адаптации, новым, сделок, санкций, предоставлению, конце, рублей, планируем, правительством, сектора, день"
9,"млрд, сша, долларов, темпов, ликвидности, марта, экономического, депозитов, марте, российской, рублей, отток, оттока, лаги, эльвира, сахипзадовна, среднесрочной, российских, перспективе, мае"
